 n° ite     f(pn)         error x             error y
   1  0.212500000000E+01  0.125000000000E+00  0.250255365869E+00
   2  0.218750000000E+01  0.625000000000E-01  0.144308955928E+00
   3  0.215625000000E+01  0.312500000000E-01  0.531658100989E-01
   4  0.217187500000E+01  0.156250000000E-01  0.455245360797E-01
   5  0.216406250000E+01  0.781250000000E-02  0.383253349962E-02
   6  0.216796875000E+01  0.390625000000E-02  0.208430444526E-01
   7  0.216601562500E+01  0.195312500000E-02  0.850451411436E-02
   8  0.216503906250E+01  0.976562500000E-03  0.233580469705E-02
   9  0.216455078125E+01  0.488281250000E-03  0.748410837630E-03
  10  0.216479492188E+01  0.244140625000E-03  0.793685324848E-03
  11  0.216467285156E+01  0.122070312500E-03  0.226343418639E-04
  12  0.216461181641E+01  0.610351562500E-04  0.362888973384E-03
  13  0.216464233398E+01  0.305175781250E-04  0.170127497127E-03
 ite final     raiz aprox         error rel x             error abs y
  14  0.216465759277E+01  0.152587890625E-04  0.737466229710E-04
