 n° ite     pn         error x             error y
   1  0.185000000000E+01  0.650000000000E+00  0.422500000000E+00
   2  0.173581081081E+01  0.114189189189E+00  0.130391709277E-01
   3  0.173205487991E+01  0.375593090171E-02  0.141070169386E-04
   4  0.173205080757E+01  0.407233543864E-05  0.165840674526E-10
 ite final     raiz aprox         error rel x             error abs y
   5  0.173205080757E+01  0.478750372679E-11  0.444089209850E-15
