 n° ite     xn         f en xn         error rel x             error abs y
   1    0.145397553E+01    0.371659872E+00    0.105899671E+00    0.432350370E-01
   2    0.143909375E+01   -0.432350370E-01    0.103410811E-01    0.194482832E-03
   3    0.143902617E+01   -0.194482832E-03    0.469562606E-04    0.456342735E-08
 ite final     xn (raiz)         f en xn         error rel x             error abs y
   4    0.143902617E+01   -0.456342735E-08    0.110185324E-08    0.612323400E-16
