        0.000000000      990.000000000       10.000000000        0.000000000
        1.000000000      983.952496840       14.822031297        1.225471863
        2.000000000      975.073025380       21.888436366        3.038538253
        3.000000000      962.141206181       32.149994854        5.708798965
        4.000000000      943.529132166       46.855207486        9.615660349
        5.000000000      917.191971543       67.530155789       15.277872668
        6.000000000      880.801104425       95.823812507       23.375083068
        7.000000000      832.133747059      133.123092546       34.743160395
        8.000000000      769.797319947      179.885873295       50.316806757
        9.000000000      694.183287302      234.821186638       70.995526060
       10.000000000      608.216868861      294.346408071       97.436723069
       11.000000000      517.261105913      352.905438002      129.833456085
       12.000000000      427.870222283      404.350921851      167.778855865
       13.000000000      345.923521519      443.777117476      210.299361005
       14.000000000      275.192724004      468.758075861      256.049200135
       15.000000000      216.992674530      479.435293603      303.572031867
       16.000000000      170.735340450      477.741281841      351.523377710
       17.000000000      134.793162646      466.407246037      398.799591317
       18.000000000      107.217675919      448.205277732      444.577046349
       19.000000000       86.166923329      425.539989487      488.293087184
       20.000000000       70.088064807      400.311276085      529.600659108
       21.000000000       57.752684157      373.929568677      568.317747167
       22.000000000       48.223670019      347.394255274      604.382074707
       23.000000000       40.800263748      321.385153841      637.814582410
       24.000000000       34.963461812      296.344832615      668.691705573
       25.000000000       30.329987639      272.544909288      697.125103073
       26.000000000       26.616372878      250.136422222      723.247204900
       27.000000000       23.612047781      229.186848052      747.201104167
       28.000000000       21.159617286      209.706773394      769.133609319
       29.000000000       19.140561138      191.668879697      789.190559166
       30.000000000       17.464909690      175.021348260      807.513742050
       31.000000000       16.063789063      159.697266644      824.238944292
       32.000000000       14.884022318      145.621188872      839.494788810
       33.000000000       13.884200879      132.713676165      853.402122955
       34.000000000       13.031808709      120.894406539      866.073784752
       35.000000000       12.301102933      110.084270605      877.614626462
       36.000000000       11.671540733      100.206749495      888.121709772
       37.000000000       11.126603036       91.188785059      897.684611905
       38.000000000       10.652908320       82.961291890      906.385799790
       39.000000000       10.239539988       75.459417893      914.301042119
       40.000000000        9.877532078       68.622629766      921.499838156
       41.000000000        9.559473168       62.394678131      928.045848700
       42.000000000        9.279199181       56.723481590      933.997319229
       43.000000000        9.031553469       51.560957928      939.407488603
       44.000000000        8.812198216       46.862822667      944.324979118
       45.000000000        8.617465202       42.588369397      948.794165401
       46.000000000        8.444236992       38.700242139      952.855520869
       47.000000000        8.289851757       35.164206910      956.545941333
       48.000000000        8.152026595       31.948927471      959.899045934
       49.000000000        8.028795393       29.025748598      962.945456009
       50.000000000        7.918458205       26.368489040      965.713052755
