0.000   0.1000000E+01
0.010   0.9900000E+00   0.3628453E-03
0.020   0.9807279E+00   0.7174231E-03
0.030   0.9721740E+00   0.1062633E-02
0.040   0.9643260E+00   0.1397407E-02
0.050   0.9571697E+00   0.1720711E-02
0.060   0.9506881E+00   0.2031553E-02
0.070   0.9448625E+00   0.2328985E-02
0.080   0.9396717E+00   0.2612107E-02
0.090   0.9350925E+00   0.2880068E-02
0.100   0.9310998E+00   0.3132076E-02
0.110   0.9276667E+00   0.3367395E-02
0.120   0.9247643E+00   0.3585350E-02
0.130   0.9223621E+00   0.3785329E-02
0.140   0.9204282E+00   0.3966790E-02
0.150   0.9189290E+00   0.4129255E-02
0.160   0.9178299E+00   0.4272321E-02
0.170   0.9170949E+00   0.4395653E-02
0.180   0.9166870E+00   0.4498992E-02
0.190   0.9165684E+00   0.4582154E-02
0.200   0.9167005E+00   0.4645028E-02
0.210   0.9170440E+00   0.4687582E-02
0.220   0.9175594E+00   0.4709859E-02
0.230   0.9182067E+00   0.4711976E-02
0.240   0.9189458E+00   0.4694128E-02
0.250   0.9197366E+00   0.4656585E-02
0.260   0.9205392E+00   0.4599689E-02
0.270   0.9213141E+00   0.4523857E-02
0.280   0.9220221E+00   0.4429575E-02
0.290   0.9226248E+00   0.4317398E-02
0.300   0.9230843E+00   0.4187950E-02
0.310   0.9233641E+00   0.4041919E-02
0.320   0.9234282E+00   0.3880053E-02
0.330   0.9232422E+00   0.3703161E-02
0.340   0.9227728E+00   0.3512109E-02
0.350   0.9219884E+00   0.3307811E-02
0.360   0.9208587E+00   0.3091235E-02
0.370   0.9193552E+00   0.2863392E-02
0.380   0.9174513E+00   0.2625334E-02
0.390   0.9151223E+00   0.2378150E-02
0.400   0.9123453E+00   0.2122964E-02
0.410   0.9090997E+00   0.1860925E-02
0.420   0.9053670E+00   0.1593210E-02
0.430   0.9011308E+00   0.1321012E-02
0.440   0.8963773E+00   0.1045541E-02
0.450   0.8910948E+00   0.7680160E-03
0.460   0.8852740E+00   0.4896618E-03
0.470   0.8789082E+00   0.2117034E-03
0.480   0.8719929E+00   0.6463860E-04
0.490   0.8645263E+00   0.3381524E-03
0.500   0.8565090E+00   0.6076401E-03
0.510   0.8479439E+00   0.8719225E-03
0.520   0.8388365E+00   0.1129843E-02
0.530   0.8291948E+00   0.1380274E-02
0.540   0.8190291E+00   0.1622118E-02
0.550   0.8083519E+00   0.1854315E-02
0.560   0.7971782E+00   0.2075845E-02
0.570   0.7855252E+00   0.2285734E-02
0.580   0.7734121E+00   0.2483054E-02
0.590   0.7608605E+00   0.2666930E-02
0.600   0.7478936E+00   0.2836544E-02
0.610   0.7345368E+00   0.2991132E-02
0.620   0.7208172E+00   0.3129997E-02
0.630   0.7067636E+00   0.3252502E-02
0.640   0.6924062E+00   0.3358079E-02
0.650   0.6777770E+00   0.3446227E-02
0.660   0.6629091E+00   0.3516519E-02
0.670   0.6478367E+00   0.3568597E-02
0.680   0.6325953E+00   0.3602179E-02
0.690   0.6172211E+00   0.3617058E-02
0.700   0.6017511E+00   0.3613101E-02
0.710   0.5862230E+00   0.3590253E-02
0.720   0.5706750E+00   0.3548534E-02
0.730   0.5551453E+00   0.3488043E-02
0.740   0.5396727E+00   0.3408951E-02
0.750   0.5242957E+00   0.3311507E-02
0.760   0.5090528E+00   0.3196033E-02
0.770   0.4939820E+00   0.3062926E-02
0.780   0.4791210E+00   0.2912650E-02
0.790   0.4645069E+00   0.2745743E-02
0.800   0.4501760E+00   0.2562808E-02
0.810   0.4361637E+00   0.2364512E-02
0.820   0.4225043E+00   0.2151586E-02
0.830   0.4092310E+00   0.1924820E-02
0.840   0.3963756E+00   0.1685060E-02
0.850   0.3839686E+00   0.1433204E-02
0.860   0.3720387E+00   0.1170200E-02
0.870   0.3606132E+00   0.8970416E-03
0.880   0.3497174E+00   0.6147633E-03
0.890   0.3393747E+00   0.3244374E-03
0.900   0.3296068E+00   0.2716936E-04
0.910   0.3204328E+00   0.2759068E-03
0.920   0.3118702E+00   0.5836326E-03
0.930   0.3039340E+00   0.8948300E-03
0.940   0.2966369E+00   0.1208306E-02
0.950   0.2899893E+00   0.1522857E-02
0.960   0.2839992E+00   0.1837275E-02
0.970   0.2786723E+00   0.2150349E-02
0.980   0.2740118E+00   0.2460875E-02
0.990   0.2700183E+00   0.2767655E-02
1.000   0.2666902E+00   0.3069508E-02
