0.000   0.1000000E+01
0.725   0.5611450E+00   0.1760223E-02
0.730   0.5534009E+00   0.1743569E-02
0.735   0.5456733E+00   0.1724598E-02
0.740   0.5379671E+00   0.1703323E-02
0.745   0.5302871E+00   0.1679763E-02
0.750   0.5226382E+00   0.1653937E-02
0.755   0.5150250E+00   0.1625865E-02
0.760   0.5074523E+00   0.1595572E-02
0.765   0.4999249E+00   0.1563084E-02
0.770   0.4924475E+00   0.1528430E-02
0.775   0.4850247E+00   0.1491639E-02
0.780   0.4776611E+00   0.1452745E-02
0.785   0.4703614E+00   0.1411782E-02
0.790   0.4631300E+00   0.1368788E-02
0.795   0.4559714E+00   0.1323801E-02
0.800   0.4488901E+00   0.1276862E-02
0.805   0.4418904E+00   0.1228015E-02
0.810   0.4349765E+00   0.1177303E-02
0.815   0.4281527E+00   0.1124775E-02
0.820   0.4214232E+00   0.1070478E-02
0.825   0.4147919E+00   0.1014463E-02
0.830   0.4082630E+00   0.9567821E-03
0.835   0.4018401E+00   0.8974892E-03
0.840   0.3955272E+00   0.8366397E-03
0.845   0.3893279E+00   0.7742908E-03
0.850   0.3832459E+00   0.7105011E-03
0.855   0.3772846E+00   0.6453305E-03
0.860   0.3714474E+00   0.5788407E-03
0.865   0.3657376E+00   0.5110943E-03
0.870   0.3601583E+00   0.4421556E-03
0.875   0.3547127E+00   0.3720899E-03
0.880   0.3494036E+00   0.3009636E-03
0.885   0.3442338E+00   0.2288443E-03
0.890   0.3392061E+00   0.1558006E-03
0.895   0.3343230E+00   0.8190218E-04
0.900   0.3295868E+00   0.7219353E-05
0.905   0.3249999E+00   0.6817658E-04
0.910   0.3205645E+00   0.1442136E-03
0.915   0.3162826E+00   0.2208191E-03
0.920   0.3121560E+00   0.2979197E-03
0.925   0.3081864E+00   0.3754416E-03
0.930   0.3043755E+00   0.4533106E-03
0.935   0.3007247E+00   0.5314520E-03
0.940   0.2972354E+00   0.6097908E-03
0.945   0.2939086E+00   0.6882520E-03
0.950   0.2907453E+00   0.7667600E-03
0.955   0.2877465E+00   0.8452394E-03
0.960   0.2849128E+00   0.9236149E-03
0.965   0.2822448E+00   0.1001811E-02
0.970   0.2797429E+00   0.1079753E-02
0.975   0.2774073E+00   0.1157364E-02
0.980   0.2752381E+00   0.1234572E-02
0.985   0.2732352E+00   0.1311301E-02
0.990   0.2713985E+00   0.1387477E-02
0.995   0.2697275E+00   0.1463026E-02
1.000   0.2682219E+00   0.1537877E-02
