0.000   0.1000000E+01
0.005   0.9950909E+00   0.8598677E-12
0.010   0.9903628E+00   0.1670442E-11
0.015   0.9858148E+00   0.2431277E-11
0.020   0.9814453E+00   0.3141709E-11
0.025   0.9772531E+00   0.3801404E-11
0.030   0.9732366E+00   0.4409917E-11
0.035   0.9693940E+00   0.4966805E-11
0.040   0.9657234E+00   0.5471734E-11
0.045   0.9622230E+00   0.5924039E-11
0.050   0.9588904E+00   0.6323941E-11
0.055   0.9557234E+00   0.6671330E-11
0.060   0.9527197E+00   0.6965650E-11
0.065   0.9498766E+00   0.7207013E-11
0.070   0.9471915E+00   0.7395418E-11
0.075   0.9446615E+00   0.7530976E-11
0.080   0.9422838E+00   0.7613687E-11
0.085   0.9400552E+00   0.7643219E-11
0.090   0.9379726E+00   0.7620349E-11
0.095   0.9360326E+00   0.7544965E-11
0.100   0.9342319E+00   0.7417511E-11
0.105   0.9325670E+00   0.7238099E-11
0.110   0.9310341E+00   0.7007284E-11
0.115   0.9296296E+00   0.6725509E-11
0.120   0.9283496E+00   0.6392997E-11
0.125   0.9271902E+00   0.6010525E-11
0.130   0.9261474E+00   0.5578427E-11
0.135   0.9252171E+00   0.5097700E-11
0.140   0.9243949E+00   0.4568679E-11
0.145   0.9236768E+00   0.3991918E-11
0.150   0.9230583E+00   0.3368861E-11
0.155   0.9225349E+00   0.2699396E-11
0.160   0.9221022E+00   0.1985190E-11
0.165   0.9217556E+00   0.1226463E-11
0.170   0.9214905E+00   0.4246603E-12
0.175   0.9213022E+00   0.4195533E-12
0.180   0.9211860E+00   0.1304956E-11
0.185   0.9211370E+00   0.2230660E-11
0.190   0.9211505E+00   0.3195555E-11
0.195   0.9212217E+00   0.4198419E-11
0.200   0.9213455E+00   0.5238143E-11
0.205   0.9215171E+00   0.6313505E-11
0.210   0.9217316E+00   0.7423284E-11
0.215   0.9219840E+00   0.8566259E-11
0.220   0.9222693E+00   0.9741097E-11
0.225   0.9225825E+00   0.1094624E-10
0.230   0.9229187E+00   0.1218037E-10
0.235   0.9232728E+00   0.1344247E-10
0.240   0.9236399E+00   0.1473111E-10
0.245   0.9240150E+00   0.1604428E-10
0.250   0.9243932E+00   0.1738099E-10
0.255   0.9247694E+00   0.1873968E-10
0.260   0.9251389E+00   0.2011857E-10
0.265   0.9254967E+00   0.2151646E-10
0.270   0.9258380E+00   0.2293177E-10
0.275   0.9261579E+00   0.2436296E-10
0.280   0.9264517E+00   0.2580813E-10
0.285   0.9267147E+00   0.2726586E-10
0.290   0.9269422E+00   0.2873479E-10
0.295   0.9271295E+00   0.3021283E-10
0.300   0.9272723E+00   0.3169887E-10
0.305   0.9273659E+00   0.3319101E-10
0.310   0.9274060E+00   0.3468759E-10
0.315   0.9273882E+00   0.3618694E-10
0.320   0.9273082E+00   0.3768763E-10
0.325   0.9271620E+00   0.3918788E-10
0.330   0.9269453E+00   0.4068612E-10
0.335   0.9266543E+00   0.4218048E-10
0.340   0.9262849E+00   0.4366940E-10
0.345   0.9258335E+00   0.4515144E-10
0.350   0.9252962E+00   0.4662504E-10
0.355   0.9246695E+00   0.4808842E-10
0.360   0.9239499E+00   0.4953993E-10
0.365   0.9231340E+00   0.5097822E-10
0.370   0.9222186E+00   0.5240153E-10
0.375   0.9212005E+00   0.5380807E-10
0.380   0.9200767E+00   0.5519674E-10
0.385   0.9188442E+00   0.5656586E-10
0.390   0.9175004E+00   0.5791378E-10
0.395   0.9160426E+00   0.5923928E-10
0.400   0.9144683E+00   0.6054068E-10
0.405   0.9127750E+00   0.6181644E-10
0.410   0.9109606E+00   0.6306555E-10
0.415   0.9090230E+00   0.6428647E-10
0.420   0.9069602E+00   0.6547762E-10
0.425   0.9047704E+00   0.6663781E-10
0.430   0.9024519E+00   0.6776602E-10
0.435   0.9000032E+00   0.6886058E-10
0.440   0.8974229E+00   0.6992062E-10
0.445   0.8947098E+00   0.7094447E-10
0.450   0.8918628E+00   0.7193146E-10
0.455   0.8888810E+00   0.7288026E-10
0.460   0.8857637E+00   0.7378986E-10
0.465   0.8825101E+00   0.7465906E-10
0.470   0.8791199E+00   0.7548706E-10
0.475   0.8755927E+00   0.7627277E-10
0.480   0.8719283E+00   0.7701539E-10
0.485   0.8681267E+00   0.7771406E-10
0.490   0.8641882E+00   0.7836787E-10
0.495   0.8601129E+00   0.7897583E-10
0.500   0.8559013E+00   0.7953749E-10
0.505   0.8515541E+00   0.8005208E-10
0.510   0.8470720E+00   0.8051892E-10
0.515   0.8424558E+00   0.8093748E-10
0.520   0.8377067E+00   0.8130729E-10
0.525   0.8328258E+00   0.8162782E-10
0.530   0.8278146E+00   0.8189838E-10
0.535   0.8226744E+00   0.8211865E-10
0.540   0.8174070E+00   0.8228840E-10
0.545   0.8120140E+00   0.8240730E-10
0.550   0.8064976E+00   0.8247503E-10
0.555   0.8008596E+00   0.8249146E-10
0.560   0.7951023E+00   0.8245660E-10
0.565   0.7892281E+00   0.8237000E-10
0.570   0.7832394E+00   0.8223189E-10
0.575   0.7771388E+00   0.8204204E-10
0.580   0.7709291E+00   0.8180057E-10
0.585   0.7646130E+00   0.8150791E-10
0.590   0.7581935E+00   0.8116385E-10
0.595   0.7516738E+00   0.8076873E-10
0.600   0.7450570E+00   0.8032297E-10
0.605   0.7383465E+00   0.7982670E-10
0.610   0.7315457E+00   0.7928025E-10
0.615   0.7246580E+00   0.7868406E-10
0.620   0.7176872E+00   0.7803869E-10
0.625   0.7106369E+00   0.7734458E-10
0.630   0.7035110E+00   0.7660228E-10
0.635   0.6963135E+00   0.7581269E-10
0.640   0.6890481E+00   0.7497580E-10
0.645   0.6817192E+00   0.7409295E-10
0.650   0.6743308E+00   0.7316459E-10
0.655   0.6668872E+00   0.7219159E-10
0.660   0.6593926E+00   0.7117484E-10
0.665   0.6518514E+00   0.7011514E-10
0.670   0.6442681E+00   0.6901313E-10
0.675   0.6366472E+00   0.6787060E-10
0.680   0.6289931E+00   0.6668766E-10
0.685   0.6213105E+00   0.6546597E-10
0.690   0.6136040E+00   0.6420631E-10
0.695   0.6058783E+00   0.6290979E-10
0.700   0.5981380E+00   0.6157796E-10
0.705   0.5903879E+00   0.6021128E-10
0.710   0.5826328E+00   0.5881173E-10
0.715   0.5748773E+00   0.5738043E-10
0.720   0.5671264E+00   0.5591816E-10
0.725   0.5593848E+00   0.5442691E-10
0.730   0.5516573E+00   0.5290757E-10
0.735   0.5439487E+00   0.5136191E-10
0.740   0.5362638E+00   0.4979084E-10
0.745   0.5286074E+00   0.4819645E-10
0.750   0.5209842E+00   0.4657985E-10
0.755   0.5133991E+00   0.4494216E-10
0.760   0.5058567E+00   0.4328549E-10
0.765   0.4983618E+00   0.4161105E-10
0.770   0.4909191E+00   0.3992051E-10
0.775   0.4835330E+00   0.3821532E-10
0.780   0.4762084E+00   0.3649719E-10
0.785   0.4689496E+00   0.3476747E-10
0.790   0.4617612E+00   0.3302814E-10
0.795   0.4546476E+00   0.3128042E-10
0.800   0.4476132E+00   0.2952616E-10
0.805   0.4406623E+00   0.2776696E-10
0.810   0.4337992E+00   0.2600425E-10
0.815   0.4270280E+00   0.2424000E-10
0.820   0.4203527E+00   0.2247552E-10
0.825   0.4137775E+00   0.2071271E-10
0.830   0.4073062E+00   0.1895295E-10
0.835   0.4009426E+00   0.1719802E-10
0.840   0.3946906E+00   0.1544970E-10
0.845   0.3885536E+00   0.1370926E-10
0.850   0.3825354E+00   0.1197870E-10
0.855   0.3766392E+00   0.1025940E-10
0.860   0.3708685E+00   0.8552936E-11
0.865   0.3652265E+00   0.6861067E-11
0.870   0.3597162E+00   0.5185019E-11
0.875   0.3543406E+00   0.3526734E-11
0.880   0.3491026E+00   0.1887546E-11
0.885   0.3440050E+00   0.2690626E-12
0.890   0.3390503E+00   0.1327327E-11
0.895   0.3342411E+00   0.2900014E-11
0.900   0.3295796E+00   0.4447664E-11
0.905   0.3250681E+00   0.5968892E-11
0.910   0.3207087E+00   0.7462031E-11
0.915   0.3165034E+00   0.8926082E-11
0.920   0.3124539E+00   0.1035932E-10
0.925   0.3085618E+00   0.1176070E-10
0.930   0.3048288E+00   0.1312878E-10
0.935   0.3012562E+00   0.1446249E-10
0.940   0.2978452E+00   0.1576028E-10
0.945   0.2945968E+00   0.1702122E-10
0.950   0.2915121E+00   0.1824413E-10
0.955   0.2885918E+00   0.1942785E-10
0.960   0.2858365E+00   0.2057138E-10
0.965   0.2832466E+00   0.2167361E-10
0.970   0.2808226E+00   0.2273348E-10
0.975   0.2785646E+00   0.2375017E-10
0.980   0.2764726E+00   0.2472267E-10
0.985   0.2745465E+00   0.2565015E-10
0.990   0.2727860E+00   0.2653178E-10
0.995   0.2711906E+00   0.2736678E-10
1.000   0.2697597E+00   0.2815448E-10
