0.000   0.1000000E+01
0.010   0.9903628E+00   0.2676415E-10
0.020   0.9814453E+00   0.5034040E-10
0.030   0.9732366E+00   0.7066292E-10
0.040   0.9657234E+00   0.8767798E-10
0.050   0.9588904E+00   0.1013442E-09
0.060   0.9527197E+00   0.1116344E-09
0.070   0.9471915E+00   0.1185336E-09
0.080   0.9422838E+00   0.1220407E-09
0.090   0.9379726E+00   0.1221664E-09
0.100   0.9342319E+00   0.1189362E-09
0.110   0.9310341E+00   0.1123875E-09
0.120   0.9283496E+00   0.1025713E-09
0.130   0.9261474E+00   0.8955059E-10
0.140   0.9243949E+00   0.7340162E-10
0.150   0.9230583E+00   0.5421197E-10
0.160   0.9221022E+00   0.3208123E-10
0.170   0.9214905E+00   0.7120637E-11
0.180   0.9211860E+00   0.2054767E-10
0.190   0.9211505E+00   0.5079126E-10
0.200   0.9213455E+00   0.8346734E-10
0.210   0.9217316E+00   0.1184242E-09
0.220   0.9222693E+00   0.1555012E-09
0.230   0.9229187E+00   0.1945288E-09
0.240   0.9236399E+00   0.2353316E-09
0.250   0.9243932E+00   0.2777256E-09
0.260   0.9251389E+00   0.3215218E-09
0.270   0.9258380E+00   0.3665256E-09
0.280   0.9264517E+00   0.4125376E-09
0.290   0.9269422E+00   0.4593548E-09
0.300   0.9272723E+00   0.5067711E-09
0.310   0.9274060E+00   0.5545785E-09
0.320   0.9273082E+00   0.6025672E-09
0.330   0.9269453E+00   0.6505274E-09
0.340   0.9262849E+00   0.6982488E-09
0.350   0.9252962E+00   0.7455231E-09
0.360   0.9239499E+00   0.7921434E-09
0.370   0.9222186E+00   0.8379059E-09
0.380   0.9200767E+00   0.8826097E-09
0.390   0.9175004E+00   0.9260590E-09
0.400   0.9144683E+00   0.9680630E-09
0.410   0.9109606E+00   0.1008436E-08
0.420   0.9069602E+00   0.1047000E-08
0.430   0.9024519E+00   0.1083584E-08
0.440   0.8974229E+00   0.1118024E-08
0.450   0.8918628E+00   0.1150166E-08
0.460   0.8857637E+00   0.1179865E-08
0.470   0.8791199E+00   0.1206984E-08
0.480   0.8719283E+00   0.1231399E-08
0.490   0.8641882E+00   0.1252996E-08
0.500   0.8559013E+00   0.1271670E-08
0.510   0.8470720E+00   0.1287332E-08
0.520   0.8377067E+00   0.1299900E-08
0.530   0.8278146E+00   0.1309309E-08
0.540   0.8174070E+00   0.1315504E-08
0.550   0.8064976E+00   0.1318443E-08
0.560   0.7951023E+00   0.1318098E-08
0.570   0.7832394E+00   0.1314452E-08
0.580   0.7709291E+00   0.1307505E-08
0.590   0.7581935E+00   0.1297267E-08
0.600   0.7450570E+00   0.1283761E-08
0.610   0.7315457E+00   0.1267025E-08
0.620   0.7176872E+00   0.1247109E-08
0.630   0.7035110E+00   0.1224075E-08
0.640   0.6890482E+00   0.1197999E-08
0.650   0.6743308E+00   0.1168967E-08
0.660   0.6593926E+00   0.1137079E-08
0.670   0.6442681E+00   0.1102444E-08
0.680   0.6289931E+00   0.1065185E-08
0.690   0.6136040E+00   0.1025434E-08
0.700   0.5981380E+00   0.9833315E-09
0.710   0.5826328E+00   0.9390290E-09
0.720   0.5671264E+00   0.8926871E-09
0.730   0.5516573E+00   0.8444738E-09
0.740   0.5362638E+00   0.7945647E-09
0.750   0.5209842E+00   0.7431429E-09
0.760   0.5058567E+00   0.6903962E-09
0.770   0.4909191E+00   0.6365192E-09
0.780   0.4762084E+00   0.5817104E-09
0.790   0.4617612E+00   0.5261722E-09
0.800   0.4476132E+00   0.4701098E-09
0.810   0.4337992E+00   0.4137309E-09
0.820   0.4203527E+00   0.3572446E-09
0.830   0.4073062E+00   0.3008601E-09
0.840   0.3946906E+00   0.2447867E-09
0.850   0.3825354E+00   0.1892326E-09
0.860   0.3708685E+00   0.1344039E-09
0.870   0.3597162E+00   0.8050399E-10
0.880   0.3491026E+00   0.2773276E-10
0.890   0.3390503E+00   0.2371436E-10
0.900   0.3295796E+00   0.7364692E-10
0.910   0.3207087E+00   0.1218805E-09
0.920   0.3124539E+00   0.1682370E-09
0.930   0.3048288E+00   0.2125459E-09
0.940   0.2978452E+00   0.2546445E-09
0.950   0.2915121E+00   0.2943789E-09
0.960   0.2858365E+00   0.3316041E-09
0.970   0.2808226E+00   0.3661851E-09
0.980   0.2764726E+00   0.3979972E-09
0.990   0.2727860E+00   0.4269267E-09
1.000   0.2697597E+00   0.4528710E-09
