0.000   0.1000000E+01
0.005   0.9950910E+00   0.1547667E-06
0.010   0.9903632E+00   0.3143652E-06
0.015   0.9858152E+00   0.4786372E-06
0.020   0.9814460E+00   0.6474199E-06
0.025   0.9772540E+00   0.8205458E-06
0.030   0.9732376E+00   0.9978431E-06
0.035   0.9693952E+00   0.1179136E-05
0.040   0.9657248E+00   0.1364243E-05
0.045   0.9622245E+00   0.1552982E-05
0.050   0.9588921E+00   0.1745164E-05
0.055   0.9557254E+00   0.1940598E-05
0.060   0.9527218E+00   0.2139090E-05
0.065   0.9498790E+00   0.2340442E-05
0.070   0.9471940E+00   0.2544453E-05
0.075   0.9446643E+00   0.2750920E-05
0.080   0.9422867E+00   0.2959637E-05
0.085   0.9400584E+00   0.3170396E-05
0.090   0.9379759E+00   0.3382987E-05
0.095   0.9360362E+00   0.3597197E-05
0.100   0.9342357E+00   0.3812813E-05
0.105   0.9325710E+00   0.4029619E-05
0.110   0.9310383E+00   0.4247399E-05
0.115   0.9296341E+00   0.4465934E-05
0.120   0.9283543E+00   0.4685007E-05
0.125   0.9271951E+00   0.4904398E-05
0.130   0.9261525E+00   0.5123887E-05
0.135   0.9252224E+00   0.5343255E-05
0.140   0.9244005E+00   0.5562282E-05
0.145   0.9236826E+00   0.5780749E-05
0.150   0.9230643E+00   0.5998436E-05
0.155   0.9225411E+00   0.6215125E-05
0.160   0.9221086E+00   0.6430599E-05
0.165   0.9217623E+00   0.6644641E-05
0.170   0.9214974E+00   0.6857036E-05
0.175   0.9213093E+00   0.7067571E-05
0.180   0.9211933E+00   0.7276034E-05
0.185   0.9211445E+00   0.7482215E-05
0.190   0.9211582E+00   0.7685908E-05
0.195   0.9212296E+00   0.7886905E-05
0.200   0.9213536E+00   0.8085006E-05
0.205   0.9215254E+00   0.8280009E-05
0.210   0.9217401E+00   0.8471719E-05
0.215   0.9219926E+00   0.8659941E-05
0.220   0.9222781E+00   0.8844485E-05
0.225   0.9225915E+00   0.9025164E-05
0.230   0.9229279E+00   0.9201795E-05
0.235   0.9232822E+00   0.9374200E-05
0.240   0.9236495E+00   0.9542203E-05
0.245   0.9240247E+00   0.9705633E-05
0.250   0.9244030E+00   0.9864324E-05
0.255   0.9247795E+00   0.1001811E-04
0.260   0.9251491E+00   0.1016685E-04
0.265   0.9255070E+00   0.1031037E-04
0.270   0.9258484E+00   0.1044854E-04
0.275   0.9261685E+00   0.1058120E-04
0.280   0.9264624E+00   0.1070824E-04
0.285   0.9267255E+00   0.1082951E-04
0.290   0.9269531E+00   0.1094488E-04
0.295   0.9271406E+00   0.1105425E-04
0.300   0.9272834E+00   0.1115749E-04
0.305   0.9273772E+00   0.1125450E-04
0.310   0.9274173E+00   0.1134518E-04
0.315   0.9273996E+00   0.1142943E-04
0.320   0.9273197E+00   0.1150716E-04
0.325   0.9271736E+00   0.1157830E-04
0.330   0.9269570E+00   0.1164275E-04
0.335   0.9266660E+00   0.1170046E-04
0.340   0.9262967E+00   0.1175136E-04
0.345   0.9258453E+00   0.1179539E-04
0.350   0.9253080E+00   0.1183251E-04
0.355   0.9246814E+00   0.1186267E-04
0.360   0.9239618E+00   0.1188583E-04
0.365   0.9231459E+00   0.1190198E-04
0.370   0.9222305E+00   0.1191107E-04
0.375   0.9212124E+00   0.1191310E-04
0.380   0.9200886E+00   0.1190806E-04
0.385   0.9188561E+00   0.1189595E-04
0.390   0.9175123E+00   0.1187677E-04
0.395   0.9160545E+00   0.1185054E-04
0.400   0.9144801E+00   0.1181727E-04
0.405   0.9127868E+00   0.1177700E-04
0.410   0.9109724E+00   0.1172974E-04
0.415   0.9090347E+00   0.1167555E-04
0.420   0.9069718E+00   0.1161446E-04
0.425   0.9047819E+00   0.1154654E-04
0.430   0.9024633E+00   0.1147184E-04
0.435   0.9000145E+00   0.1139044E-04
0.440   0.8974342E+00   0.1130239E-04
0.445   0.8947210E+00   0.1120778E-04
0.450   0.8918739E+00   0.1110670E-04
0.455   0.8888920E+00   0.1099925E-04
0.460   0.8857746E+00   0.1088551E-04
0.465   0.8825209E+00   0.1076560E-04
0.470   0.8791305E+00   0.1063962E-04
0.475   0.8756032E+00   0.1050769E-04
0.480   0.8719386E+00   0.1036994E-04
0.485   0.8681370E+00   0.1022649E-04
0.490   0.8641982E+00   0.1007747E-04
0.495   0.8601228E+00   0.9923036E-05
0.500   0.8559111E+00   0.9763320E-05
0.505   0.8515637E+00   0.9598475E-05
0.510   0.8470814E+00   0.9428656E-05
0.515   0.8424651E+00   0.9254022E-05
0.520   0.8377158E+00   0.9074740E-05
0.525   0.8328347E+00   0.8890976E-05
0.530   0.8278233E+00   0.8702905E-05
0.535   0.8226829E+00   0.8510706E-05
0.540   0.8174153E+00   0.8314558E-05
0.545   0.8120222E+00   0.8114648E-05
0.550   0.8065055E+00   0.7911166E-05
0.555   0.8008673E+00   0.7704304E-05
0.560   0.7951098E+00   0.7494258E-05
0.565   0.7892354E+00   0.7281228E-05
0.570   0.7832465E+00   0.7065415E-05
0.575   0.7771457E+00   0.6847024E-05
0.580   0.7709357E+00   0.6626263E-05
0.585   0.7646194E+00   0.6403342E-05
0.590   0.7581997E+00   0.6178471E-05
0.595   0.7516798E+00   0.5951866E-05
0.600   0.7450628E+00   0.5723741E-05
0.605   0.7383520E+00   0.5494312E-05
0.610   0.7315509E+00   0.5263799E-05
0.615   0.7246630E+00   0.5032421E-05
0.620   0.7176920E+00   0.4800396E-05
0.625   0.7106415E+00   0.4567947E-05
0.630   0.7035154E+00   0.4335293E-05
0.635   0.6963176E+00   0.4102656E-05
0.640   0.6890520E+00   0.3870257E-05
0.645   0.6817229E+00   0.3638317E-05
0.650   0.6743342E+00   0.3407056E-05
0.655   0.6668903E+00   0.3176695E-05
0.660   0.6593955E+00   0.2947451E-05
0.665   0.6518541E+00   0.2719543E-05
0.670   0.6442706E+00   0.2493186E-05
0.675   0.6366494E+00   0.2268596E-05
0.680   0.6289952E+00   0.2045986E-05
0.685   0.6213123E+00   0.1825566E-05
0.690   0.6136056E+00   0.1607545E-05
0.695   0.6058797E+00   0.1392131E-05
0.700   0.5981392E+00   0.1179526E-05
0.705   0.5903889E+00   0.9699321E-06
0.710   0.5826335E+00   0.7635471E-06
0.715   0.5748779E+00   0.5605661E-06
0.720   0.5671268E+00   0.3611804E-06
0.725   0.5593850E+00   0.1655782E-06
0.730   0.5516573E+00   0.2605636E-07
0.735   0.5439485E+00   0.2135430E-06
0.740   0.5362634E+00   0.3967056E-06
0.745   0.5286068E+00   0.5753721E-06
0.750   0.5209835E+00   0.7493751E-06
0.755   0.5133982E+00   0.9185518E-06
0.760   0.5058557E+00   0.1082744E-05
0.765   0.4983606E+00   0.1241799E-05
0.770   0.4909177E+00   0.1395568E-05
0.775   0.4835315E+00   0.1543909E-05
0.780   0.4762067E+00   0.1686684E-05
0.785   0.4689478E+00   0.1823761E-05
0.790   0.4617592E+00   0.1955015E-05
0.795   0.4546455E+00   0.2080323E-05
0.800   0.4476110E+00   0.2199572E-05
0.805   0.4406600E+00   0.2312654E-05
0.810   0.4337968E+00   0.2419464E-05
0.815   0.4270254E+00   0.2519908E-05
0.820   0.4203501E+00   0.2613894E-05
0.825   0.4137748E+00   0.2701340E-05
0.830   0.4073034E+00   0.2782168E-05
0.835   0.4009398E+00   0.2856306E-05
0.840   0.3946876E+00   0.2923692E-05
0.845   0.3885506E+00   0.2984268E-05
0.850   0.3825323E+00   0.3037983E-05
0.855   0.3766361E+00   0.3084792E-05
0.860   0.3708654E+00   0.3124660E-05
0.865   0.3652233E+00   0.3157555E-05
0.870   0.3597130E+00   0.3183455E-05
0.875   0.3543374E+00   0.3202342E-05
0.880   0.3490994E+00   0.3214208E-05
0.885   0.3440018E+00   0.3219050E-05
0.890   0.3390471E+00   0.3216872E-05
0.895   0.3342378E+00   0.3207685E-05
0.900   0.3295764E+00   0.3191508E-05
0.905   0.3250650E+00   0.3168365E-05
0.910   0.3207056E+00   0.3138289E-05
0.915   0.3165003E+00   0.3101319E-05
0.920   0.3124508E+00   0.3057499E-05
0.925   0.3085588E+00   0.3006884E-05
0.930   0.3048259E+00   0.2949531E-05
0.935   0.3012533E+00   0.2885506E-05
0.940   0.2978424E+00   0.2814882E-05
0.945   0.2945941E+00   0.2737738E-05
0.950   0.2915095E+00   0.2654158E-05
0.955   0.2885892E+00   0.2564235E-05
0.960   0.2858340E+00   0.2468067E-05
0.965   0.2832443E+00   0.2365757E-05
0.970   0.2808204E+00   0.2257416E-05
0.975   0.2785625E+00   0.2143159E-05
0.980   0.2764706E+00   0.2023109E-05
0.985   0.2745446E+00   0.1897394E-05
0.990   0.2727842E+00   0.1766146E-05
0.995   0.2711889E+00   0.1629504E-05
1.000   0.2697582E+00   0.1487613E-05
