    t          caso 1          caso 2          caso 3          caso 4          caso 5          caso 6
 4.700    0.3010127E-01    0.4517908E-01    0.5665423E-01    0.6126209E-01    0.8036065E-01    0.8823314E-01
 4.800   -0.6637199E-01   -0.5272902E-01   -0.4234587E-01   -0.3817651E-01   -0.2089541E-01   -0.1377210E-01
 4.900   -0.1354986E+00   -0.1231539E+00   -0.1137589E+00   -0.1099863E+00   -0.9434968E-01   -0.8790423E-01
 5.000   -0.1510643E+00   -0.1398944E+00   -0.1313934E+00   -0.1279798E+00   -0.1138313E+00   -0.1079992E+00
 5.100   -0.1072954E+00   -0.9718847E-01   -0.8949644E-01   -0.8640771E-01   -0.7360555E-01   -0.6832846E-01
 5.200   -0.2106552E-01   -0.1192036E-01   -0.4960324E-02   -0.2165518E-02    0.9418354E-02    0.1419326E-01
 5.300    0.7454788E-01    0.8282276E-01    0.8912046E-01    0.9164931E-01    0.1021308E+00    0.1064513E+00
 5.400    0.1428964E+00    0.1503839E+00    0.1560823E+00    0.1583705E+00    0.1678545E+00    0.1717639E+00
 5.500    0.1577582E+00    0.1645331E+00    0.1696892E+00    0.1717597E+00    0.1803412E+00    0.1838785E+00
 5.600    0.1133523E+00    0.1194825E+00    0.1241479E+00    0.1260213E+00    0.1337862E+00    0.1369870E+00
 5.700    0.2654598E-01    0.3209280E-01    0.3631428E-01    0.3800942E-01    0.4503539E-01    0.4793152E-01
 5.800   -0.6958895E-01   -0.6456998E-01   -0.6075023E-01   -0.5921640E-01   -0.5285904E-01   -0.5023851E-01
 5.900   -0.1384094E+00   -0.1338681E+00   -0.1304118E+00   -0.1290239E+00   -0.1232716E+00   -0.1209004E+00
 6.000   -0.1536982E+00   -0.1495890E+00   -0.1464616E+00   -0.1452058E+00   -0.1400009E+00   -0.1378554E+00
 6.100   -0.1096786E+00   -0.1059605E+00   -0.1031307E+00   -0.1019944E+00   -0.9728479E-01   -0.9534346E-01
 6.200   -0.2322191E-01   -0.1985759E-01   -0.1729714E-01   -0.1626898E-01   -0.1200751E-01   -0.1025092E-01
 6.300    0.7259669E-01    0.7564086E-01    0.7795765E-01    0.7888796E-01    0.8274390E-01    0.8433333E-01
 6.400    0.1411309E+00    0.1438854E+00    0.1459817E+00    0.1468235E+00    0.1503125E+00    0.1517507E+00
 6.500    0.1561607E+00    0.1586530E+00    0.1605499E+00    0.1613116E+00    0.1644685E+00    0.1657698E+00
 6.600    0.1119068E+00    0.1141620E+00    0.1158783E+00    0.1165675E+00    0.1194240E+00    0.1206015E+00
 6.700    0.2523806E-01    0.2727863E-01    0.2883162E-01    0.2945523E-01    0.3203994E-01    0.3310537E-01
 6.800   -0.7077240E-01   -0.6892602E-01   -0.6752082E-01   -0.6695655E-01   -0.6461781E-01   -0.6365377E-01
 6.900   -0.1394802E+00   -0.1378096E+00   -0.1365381E+00   -0.1360275E+00   -0.1339113E+00   -0.1330390E+00
 7.000   -0.1546671E+00   -0.1531554E+00   -0.1520049E+00   -0.1515429E+00   -0.1496281E+00   -0.1488389E+00
 7.100   -0.1105553E+00   -0.1091875E+00   -0.1081465E+00   -0.1077285E+00   -0.1059959E+00   -0.1052817E+00
 7.200   -0.2401520E-01   -0.2277754E-01   -0.2183560E-01   -0.2145736E-01   -0.1988965E-01   -0.1924344E-01
 7.300    0.7187889E-01    0.7299878E-01    0.7385108E-01    0.7419332E-01    0.7561184E-01    0.7619656E-01
 7.400    0.1404814E+00    0.1414948E+00    0.1422659E+00    0.1425756E+00    0.1438592E+00    0.1443882E+00
 7.500    0.1555730E+00    0.1564899E+00    0.1571877E+00    0.1574679E+00    0.1586293E+00    0.1591080E+00
 7.600    0.1113750E+00    0.1122047E+00    0.1128361E+00    0.1130896E+00    0.1141405E+00    0.1145737E+00
 7.700    0.2475690E-01    0.2550759E-01    0.2607890E-01    0.2630831E-01    0.2725918E-01    0.2765113E-01
 7.800   -0.7120777E-01   -0.7052853E-01   -0.7001158E-01   -0.6980400E-01   -0.6894362E-01   -0.6858897E-01
 7.900   -0.1398742E+00   -0.1392596E+00   -0.1387918E+00   -0.1386040E+00   -0.1378255E+00   -0.1375046E+00
 8.000   -0.1550235E+00   -0.1544674E+00   -0.1540442E+00   -0.1538742E+00   -0.1531698E+00   -0.1528795E+00
 8.100   -0.1108779E+00   -0.1103747E+00   -0.1099917E+00   -0.1098379E+00   -0.1092005E+00   -0.1089378E+00
 8.200   -0.2430704E-01   -0.2385173E-01   -0.2350521E-01   -0.2336606E-01   -0.2278933E-01   -0.2255160E-01
 8.300    0.7161483E-01    0.7202681E-01    0.7234036E-01    0.7246626E-01    0.7298811E-01    0.7320321E-01
 8.400    0.1402425E+00    0.1406153E+00    0.1408990E+00    0.1410129E+00    0.1414851E+00    0.1416797E+00
 8.500    0.1553568E+00    0.1556941E+00    0.1559508E+00    0.1560539E+00    0.1564812E+00    0.1566573E+00
